time,force,rate
3420.3,60.21647456470814,38394.03278754132
3420.3500000000004,60.21605461941611,38394.66775452494
3420.4,60.21563471429239,38395.302721611515
3420.4500000000003,60.215214847359206,38395.93768880115
3420.5,60.21479501656206,38396.57265609393
3420.55,60.21437521977509,38397.207623489965
3420.6000000000004,60.21395545480606,38397.84259098935
3420.65,60.21353572222448,38398.47755859204
3420.7000000000003,60.213116023384195,38399.112526297984
3420.75,60.212696359522155,38399.74749410708
3420.8,60.21227673229348,38400.38246201926
3420.8500000000004,60.2118571431689,38401.01743003444
3420.9,60.21143759322934,38401.65239815253
3420.9500000000003,60.211018084282095,38402.287366373464
3421.0,60.210598618085015,38402.92233469711
3421.05,60.21017919604382,38403.557303123416
3421.1000000000004,60.20975981915588,38404.192271652304
3421.15,60.20934048803395,38404.82724028374
3421.2000000000003,60.2089212029491,38405.462209017685
3421.25,60.20850196387239,38406.09717785415
3421.3,60.208082770510856,38406.73214679313
3421.3500000000004,60.207663622337904,38407.36711583464
3421.4,60.207244521481655,38408.00208497855
3421.4500000000003,60.206825470699854,38408.637054224724
3421.5,60.206406472508306,38409.27202357301
3421.55,60.20598752894445,38409.90699302331
3421.6000000000004,60.2055686415527,38410.54196257551
3421.65,60.20514981143196,38411.17693222957
3421.7000000000003,60.20473103929096,38411.81190198542
3421.75,60.20431232624881,38412.446871842985
3421.8,60.20389367336404,38413.08184180222
3421.8500000000004,60.203475081417515,38413.71681186304
3421.9,60.20305655086348,38414.351782025435
3421.9500000000003,60.202638081842835,38414.98675228936
3422.0,60.202219674214845,38415.621722654825
3422.05,60.20180132758902,38416.256693121824
3422.1000000000004,60.201383041353516,38416.89166369037
3422.15,60.20096481469903,38417.5266343605
3422.2000000000003,60.20054664663835,38418.16160513224
3422.25,60.2001285360246,38418.79657600564
3422.3,60.199710481565035,38419.43154698075
3422.3500000000004,60.199292481834426,38420.0665180576
3422.4,60.19887453528616,38420.70148923631
3422.4500000000003,60.19845664026213,38421.3364605169
3422.5,60.198038795002084,38421.97143189945
3422.55,60.19762099765101,38422.60640338408
3422.6000000000004,60.197203246266746,38423.241374970836
3422.65,60.196785538826404,38423.876346659825
3422.7000000000003,60.19636787323239,38424.511318451136
3422.75,60.19595024731772,38425.14629034488
3422.8,60.195532658850865,38425.78126234114
3422.8500000000004,60.19511510554052,38426.41623444002
3422.9,60.194697585039656,38427.05120664164
3422.9500000000003,60.194280094949484,38427.68617894613
3423.0,60.193862632822764,38428.32115135358
3423.05,60.19344519616726,38428.95612386411
3423.1000000000004,60.19302778244897,38429.591096477845
3423.15,60.19261038909486,38430.22606919492
3423.2000000000003,60.192193013495135,38430.86104201545
3423.25,60.19177565300605,38431.496014939556
3423.3,60.19135830495248,38432.130987967386
3423.3500000000004,60.19094096662923,38432.76596109907
3423.4,60.19052363530394,38433.40093433472
3423.4500000000003,60.19010630821839,38434.0359076745
3423.5,60.189688982590255,38434.67088111853
3423.55,60.18927165561521,38435.30585466697
3423.6000000000004,60.188854324467805,38435.94082831994
3423.65,60.18843698630346,38436.575802077605
3423.7000000000003,60.1880196427533,38437.21077593987
3423.75,60.18760229676295,38437.84574990659
3423.8,60.18718495116247,38438.480723977635
3423.8500000000004,60.186767608247365,38439.11569815288
3423.9,60.18635026972651,38439.75067243224
3423.9500000000003,60.18593293733167,38440.38564681563
3424.0,60.18551561250246,38441.02062130296
3424.05,60.18509829758361,38441.655595894146
3424.1000000000004,60.18468099490885,38442.29057058903
3424.15,60.18426370642413,38442.925545387516
3424.2000000000003,60.183846433610206,38443.560520289546
3424.25,60.183429177507236,38444.195495295055
3424.3,60.183011938765205,38444.830470404006
3424.3500000000004,60.182594717693476,38445.465445616384
3424.4,60.18217751430315,38446.100420932176
3424.4500000000003,60.18176032834335,38446.73539635138
3424.5,60.18134315933029,38447.37037187405
3424.55,60.1809260065726,38448.005347500184
3424.6000000000004,60.180508869192856,38448.64032322983
3424.65,60.180091746144974,38449.275299063054
3424.7000000000003,60.17967463623056,38449.91027499989
3424.75,60.17925753811264,38450.54525104041
3424.8,60.17884045032746,38451.18022718468
3424.8500000000004,60.17842337129541,38451.815203432794
3424.9,60.17800629933084,38452.45017978482
3424.9500000000003,60.17758923265017,38453.08515624084
3425.0,60.17717216938007,38453.72013280097
3425.05,60.17675510756378,38454.35510946528
3425.1000000000004,60.17633804516813,38454.99008623388
3425.15,60.17592098113522,38455.62506310684
3425.2000000000003,60.17550391467678,38456.260040084184
3425.25,60.17508684492585,38456.89501716595
3425.3,60.174669770830356,38457.52999435222
3425.3500000000004,60.174252691561804,38458.16497164302
3425.4,60.173835607041546,38458.79994903834
3425.4500000000003,60.17341851725207,38459.4349265382
3425.5,60.173001421973986,38460.06990414261
3425.55,60.17258432156027,38460.70488185155
3425.6000000000004,60.172167216365196,38461.339859665
3425.65,60.171750106507524,38461.97483758297
3425.7000000000003,60.17133299181958,38462.60981560545
3425.75,60.17091587186093,38463.24479373249
3425.8,60.17049874594776,38463.879771964086
3425.8500000000004,60.170081617293135,38464.51475030013
3425.9,60.16966449011294,38465.14972874036
3425.9500000000003,60.16924736836243,38465.784707284605
3426.0,60.168830256530285,38466.41968593263
3426.05,60.168413158785775,38467.05466468423
3426.1000000000004,60.167996078690095,38467.68964353922
3426.15,60.16757901917298,38468.324622497435
3426.2000000000003,60.167161982589896,38468.959601558774
3426.25,60.1667449707921,38469.59458072312
3426.3,60.166327985190904,38470.2295599904
3426.3500000000004,60.165911026811344,38470.86453936057
3426.4,60.16549409633783,38471.49951883357
3426.4500000000003,60.16507719415139,38472.13449840939
3426.5,60.16466032036178,38472.769478088
3426.55,60.16424347483446,38473.404457869394
3426.6000000000004,60.16382665721428,38474.039437753614
