MU,ISI,Force Level
MU_2,0.14013671875,5
MU_2,0.125,5
MU_2,0.1328125,5
MU_2,0.19550781249999716,5
MU_2,0.21455078124999716,5
MU_2,0.19814453125000142,5
MU_2,0.21503906250000426,5
MU_2,0.14179687499999716,5
MU_2,0.15410156250000284,5
MU_2,0.2236328125,5
MU_2,0.13339843749999858,5
MU_2,0.13671875,5
MU_2,0.13271484375000142,5
MU_2,0.12900390624999858,5
MU_2,0.13544921874999716,5
MU_2,0.14785156250000142,5
MU_2,0.13994140625000284,5
MU_2,0.13007812499999716,5
MU_2,0.12314453124999858,5
MU_2,0.1337890625,5
MU_2,0.11386718749999858,5
MU_2,0.12675781250000284,5
MU_2,0.11865234375,5
MU_2,0.11904296875000142,5
MU_2,0.16914062499999716,5
MU_2,0.11250000000000426,5
MU_2,0.12324218749999716,5
MU_2,0.14248046875000142,5
MU_2,0.13007812499999716,5
MU_2,0.14414062499999858,5
MU_2,0.12070312500000568,5
MU_2,0.12226562499999716,5
MU_2,0.13310546875000284,5
MU_2,0.13369140624999432,5
MU_2,0.13320312500000142,5
MU_2,0.15224609375000142,5
MU_2,0.12744140625,5
MU_2,0.13261718750000284,5
MU_2,0.13906249999999432,5
MU_2,0.12880859375000142,5
MU_2,0.14501953125,5
MU_2,0.14121093749999858,5
MU_2,0.14521484375000426,5
MU_2,0.12509765624999858,5
MU_2,0.11748046875000284,5
MU_2,0.12978515624999432,5
MU_2,0.13564453125000142,5
MU_2,0.12187500000000284,5
MU_2,0.18349609375000142,5
MU_2,0.15205078124999716,5
MU_2,0.12275390624999716,5
MU_2,0.13759765625000142,5
MU_2,0.10654296874999858,5
MU_2,0.10605468750000568,5
MU_2,0.12470703124999716,5
MU_2,0.12138671875000284,5
MU_2,0.11347656249999716,5
MU_2,0.11904296875000142,5
MU_2,0.12197265625000142,5
MU_2,0.11982421874999716,5
MU_2,0.12910156249999716,5
MU_2,0.11123046875000142,5
MU_2,0.12958984375000426,5
MU_2,0.11074218749999432,5
MU_2,0.13798828125000284,5
MU_2,0.11279296875,5
MU_2,0.10302734375,5
MU_2,0.12138671875000284,5
MU_2,0.10468749999999716,5
MU_2,0.13740234374999716,5
MU_2,0.11923828125000568,5
MU_2,0.1474609375,5
MU_2,0.14003906249999432,5
MU_2,0.14150390625000142,5
MU_2,0.1264648437500071,5
MU_2,0.12285156249998863,5
MU_2,0.11943359375000284,5
MU_2,0.12275390624999716,5
MU_2,0.11865234375,5
MU_2,0.14863281250001137,5
MU_2,0.12939453125,5
MU_2,0.13271484374999432,5
MU_2,0.15371093749999432,5
MU_2,0.12089843750000284,5
MU_2,0.12109375,5
MU_2,0.12783203125000853,5
MU_2,0.11845703124998863,5
MU_2,0.13437500000000568,5
MU_2,0.13388671875000568,5
MU_2,0.1279296875,5
MU_2,0.12451171875,5
MU_2,0.11933593749999716,5
MU_2,0.11328125,5
MU_2,0.11083984375,5
MU_2,0.11191406249999147,5
MU_2,0.14697265625,5
MU_2,0.14931640625000853,5
MU_2,0.13974609374999147,5
MU_2,0.11542968750001137,5
MU_2,0.10175781249999716,5
MU_2,0.12890625,5
MU_2,0.1123046875,5
MU_2,0.12900390624999147,5
MU_2,0.11640625000001137,5
MU_2,0.11123046874999432,5
MU_2,0.111328125,5
MU_2,0.11591796874999716,5
MU_2,0.11552734375000284,5
MU_2,0.12148437499999432,5
MU_2,0.12822265625000284,5
MU_2,0.11328125,5
MU_2,0.13222656250000853,5
MU_2,0.10429687499998863,5
MU_2,0.11640625000001137,5
MU_2,0.10771484374998863,5
MU_2,0.10898437500000568,5
MU_2,0.10361328125000568,5
MU_2,0.10185546874998863,5
MU_2,0.11367187500000853,5
MU_2,0.10556640624999147,5
MU_2,0.09882812500001137,5
MU_2,0.11923828124999147,5
MU_2,0.111328125,5
MU_2,0.10390625000000853,5
MU_2,0.10546875,5
MU_2,0.11474609375,5
MU_2,0.115234375,5
MU_2,0.12021484374999147,5
MU_2,0.11582031250000568,5
MU_2,0.09599609375000284,5
