neuron_id,spike_time,spike_time_motor_plate
1,3875.450000009816,3895.1319827827524
1,3939.1000000100476,3958.781982782984
1,4006.4000000102924,4026.081982783229
1,4073.4500000105363,4093.1319827834727
1,4135.900000010038,4155.581982782975
1,4205.400000009026,4225.081982781963
1,4270.850000008074,4290.531982781011
1,4339.400000007076,4359.081982780013
1,4405.950000006108,4425.631982779045
1,4469.300000005186,4488.981982778123
1,4533.850000004247,4553.531982777184
1,4599.60000000329,4619.281982776227
1,4661.250000002393,4680.93198277533
1,4731.500000001371,4751.1819827743075
1,4797.550000000409,4817.231982773346
1,4862.79999999946,4882.481982772397
1,4927.599999998517,4947.281982771454
1,4988.799999997626,5008.481982770563
1,5046.749999996783,5066.43198276972
1,5111.399999995842,5131.081982768779
1,5177.199999994885,5196.881982767822
1,5237.549999994007,5257.2319827669435
