Folder,File,Muscle,Force_Level,Plateau,MU,ISI_Mean_ms,ISI_SD_ms,ISI_CV,Firing_Rate_Hz,Num_Spikes
P01_iEMG_Ramps,VM_15.mat,VM,15,2,3,84.67486537782486,8.35145590942597,0.09862969220159042,11.809880010295071,355
P01_iEMG_Ramps,VM_15.mat,VM,15,2,4,79.71009599401596,6.714723503933269,0.08423931021783439,12.545462247029192,377
P01_iEMG_Ramps,VM_15.mat,VM,15,2,5,74.66636144014963,8.893503540155917,0.11910990931685736,13.392911891140843,402
P01_iEMG_Ramps,VM_15.mat,VM,15,2,6,77.50802446705427,7.3182760582777355,0.09441959214672616,12.901889925282022,388
P01_iEMG_Ramps,VM_15.mat,VM,15,2,7,93.22399484034268,7.583206402836203,0.08134393313463296,10.726852048258824,322
P01_iEMG_Ramps,VM_15.mat,VM,15,2,8,114.09716424141222,12.697072811852088,0.1112829832035704,8.76445971859697,263
P01_iEMG_Ramps,VM_15.mat,VM,15,2,9,86.21671830100574,8.823887376626082,0.10234543311912568,11.598678535974091,349
P01_iEMG_Ramps,VM_15.mat,VM,15,2,10,117.57581815944881,19.40761366480474,0.16506467034305788,8.505150256695334,255
P01_iEMG_Ramps,VM_15.mat,VM,15,3,1,116.15983829941861,23.24377016987146,0.2001016057715001,8.6088274109194,259
P01_iEMG_Ramps,VM_15.mat,VM,15,3,2,80.52729124663979,8.321875190782569,0.10334229628181887,12.418150226079131,373
P01_iEMG_Ramps,VM_15.mat,VM,15,3,3,85.35350452769886,7.557786035509228,0.08854687428864248,11.715980562643221,353
P01_iEMG_Ramps,VM_15.mat,VM,15,3,4,80.4606337969169,6.444956312593915,0.08010074005706967,12.428438017577712,374
P01_iEMG_Ramps,VM_15.mat,VM,15,3,5,74.47609723945409,7.991230738139541,0.10729926827994615,13.427126783843406,404
P01_iEMG_Ramps,VM_15.mat,VM,15,3,6,79.08687541226912,7.441267046054597,0.09408978426906214,12.644323028152725,380
P01_iEMG_Ramps,VM_15.mat,VM,15,3,7,94.52200808359622,6.569308441088593,0.06950030552967759,10.579546713772626,318
P01_iEMG_Ramps,VM_15.mat,VM,15,3,8,112.96543337264151,11.98969931271895,0.1061360006752532,8.852265424426589,266
P01_iEMG_Ramps,VM_15.mat,VM,15,3,9,87.81181469298245,7.588471399658857,0.08641743057230425,11.38798923010887,343
P01_iEMG_Ramps,VM_15.mat,VM,15,3,10,115.26817908653847,19.385185542472374,0.1681746488588043,8.675421160676464,261
P01_iEMG_Ramps,VM_15.mat,VM,15,4,2,80.91216216216216,8.924933224804313,0.11030397639006584,12.359081419624218,371
P01_iEMG_Ramps,VM_15.mat,VM,15,4,3,86.01214529454023,8.187436420395843,0.09518930602601251,11.626265064957945,349
P01_iEMG_Ramps,VM_15.mat,VM,15,4,4,79.90364583333333,6.483521791675701,0.0811417517193061,12.515073493465438,376
P01_iEMG_Ramps,VM_15.mat,VM,15,4,5,75.51952141057934,9.169196205773995,0.12141491411106195,13.241609339170315,398
P01_iEMG_Ramps,VM_15.mat,VM,15,4,6,79.65926516909815,7.359034056703429,0.09238139519718022,12.55346754551692,378
P01_iEMG_Ramps,VM_15.mat,VM,15,4,7,94.41172121451105,11.061313538251873,0.11716038428236762,10.591905190754009,318
P01_iEMG_Ramps,VM_15.mat,VM,15,4,8,117.57467830882354,16.6474512244667,0.14159044671795942,8.505232711531509,256
P01_iEMG_Ramps,VM_15.mat,VM,15,4,9,88.24333639705883,9.362465580452048,0.10609827282963091,11.332300441366021,341
P01_iEMG_Ramps,VM_15.mat,VM,15,4,10,123.89418658088235,27.504415258350964,0.2219992399755992,8.071403732467834,239
P01_iEMG_Ramps,VM_30.mat,VM,30,2,1,110.78993055555556,10.51435561427091,0.09490353104787344,9.026091044425291,181
P01_iEMG_Ramps,VM_30.mat,VM,30,2,2,102.93975515463917,11.431514799575883,0.11105053419257817,9.7144198419529,195
P01_iEMG_Ramps,VM_30.mat,VM,30,2,3,95.26134672619048,13.052694894644802,0.13701984428334968,10.497437149133512,211
P01_iEMG_Ramps,VM_30.mat,VM,30,2,4,69.14569366349481,7.309284129893355,0.10570845041290347,14.4622166185303,290
P01_iEMG_Ramps,VM_30.mat,VM,30,2,5,75.23973507988721,7.407238115180246,0.09844848745567047,13.290849561581139,267
P01_iEMG_Ramps,VM_30.mat,VM,30,2,6,97.57008272058823,12.600660199157081,0.12914471165553518,10.249043273476598,205
P01_iEMG_Ramps,VM_30.mat,VM,30,2,7,93.01553415697674,10.00724808327265,0.1075868474440411,10.750892408061217,216
